Year,Sex,Age group (years),Count,"Age-specific rate(per 100,000)"
2011,Females,65–74,73,8.62
2011,Females,75–84,116,20.96
2011,Females,85–94,106,40.05
2011,Males,15–24,1,0.1
2011,Males,25–34,20,1.25
2011,Males,35–44,43,2.7
2011,Males,45–54,88,5.82
2011,Males,55–64,195,15.32
2011,Males,65–74,253,30.43
2011,Males,75–84,306,68.19
2011,Males,85–94,169,121.52
2011,Persons,15–24,3,0.2
2011,Persons,25–34,32,0.98
2011,Persons,35–44,78,2.45
2011,Persons,45–54,135,4.43
2011,Persons,55–64,274,10.71
2011,Persons,65–74,326,19.39
2011,Persons,75–84,422,42.09
2011,Persons,85–94,275,68.11
2012,Females,15–24,3,0.4
2012,Females,25–34,14,0.85
2012,Females,35–44,27,1.68
2012,Females,45–54,40,2.6
2012,Females,55–64,82,6.27
2012,Females,65–74,99,11.04
2012,Females,75–84,114,20.46
2012,Females,85–94,118,43.18
2012,Males,15–24,2,0.1
2012,Males,25–34,17,1.06
2012,Males,35–44,31,2
2012,Males,45–54,83,5.5
2012,Males,55–64,168,13.14
2012,Males,65–74,266,30.27
2012,Males,75–84,298,64.87
2012,Males,85–94,178,121.07
2012,Persons,15–24,5,0.17
2012,Persons,25–34,31,0.95
2012,Persons,35–44,58,1.81
2012,Persons,45–54,123,4.05
2012,Persons,55–64,250,9.67
2012,Persons,65–74,365,20.52
2012,Persons,75–84,412,40.54
2012,Persons,85–94,296,70.42
2013,Females,15–24,0,
2013,Females,25–34,13,0.71
2013,Females,35–44,29,1.82
2013,Females,45–54,67,4.31
2013,Females,55–64,81,6.06
2013,Females,65–74,90,9.57
2013,Females,75–84,122,21.67
2013,Females,85–94,101,35.76
2013,Males,15–24,0,
2013,Males,25–34,13,0.75
2013,Males,35–44,40,2.48
2013,Males,45–54,100,6.55
2013,Males,55–64,188,14.49
2013,Males,65–74,283,30.84
2013,Males,75–84,326,69.33
2013,Males,85–94,172,110.61
2013,Persons,15–24,0,
2013,Persons,25–34,26,0.74
2013,Persons,35–44,69,2.19
2013,Persons,45–54,167,5.4
2013,Persons,55–64,269,10.22
2013,Persons,65–74,373,20.04
2013,Persons,75–84,448,43.3
2013,Persons,85–94,273,62.41
2014,Females,15–24,1,0.1
